,Site,Date,Random,Random_m,Length_m,Width_m,Depth_m,Nr_Chinook,Nr_Steelhead,
Pool 7,3D,8/9/2022,L,ELJ,10.5,3.5,0.23,0,0,
Pool 1,Dillwater,8/9/2022,R,45R,5,3,0.29,0,0,
Pool 2,Dillwater,8/9/2022,R,15R,5,3,0.3,0,0,
Pool 3,Dillwater,8/9/2022,R,14R,5,3,0.46,0,0,
Pool 4,Dillwater,8/9/2022,R,30R,5,3,0.64,0,0,
Pool 5,Dillwater,8/9/2022,R,20R,5,3,0.29,0,0,
Pool 6,Dillwater,8/9/2022,R,9R,5,3,0.23,0,0,
Pool 7,Dillwater,8/9/2022,R,17R,5,3,0.26,0,0,
Pool 8,Dillwater,8/9/2022,R,14R,5,3,0.39,0,0,
Pool 9,Dillwater,8/9/2022,R,23L,5,3,1.8,8,0,
Pool 10,Dillwater,8/9/2022,R,46L,5,3,0.57,0,0,
Pool 11,Dillwater,8/9/2022,R,12L,5,3,0.27,0,0,
Pool 12,Dillwater,8/9/2022,R,37L,5,3,0.12,0,0,
Pool 13,Dillwater,8/9/2022,R,40L,5,3,0.4,0,0,
Pool 14,Dillwater,8/9/2022,R,38R,5,3,0.5,0,0,
Pool 15,Dillwater,8/9/2022,R,27L,5,3,0.26,0,0,
Pool 1,Dillwater,8/9/2022,L,ELJ,10,1,0.13,1,0,
Pool 2,Dillwater,8/9/2022,L,ELJ,12.5,3,0.4,0,0,
Pool 3,Dillwater,8/9/2022,U,ELJ,-,-,-,0,-,
Pool 4,Dillwater,8/9/2022,U,ELJ,-,-,-,0,-,
Pool 5,Dillwater,8/9/2022,U,ELJ,180,5,,179,9,
Pool 1,Gray D,8/8/2022,R,24L,5,3,0.21,0,0,
Pool 2,Gray D,8/8/2022,R,60L,5,3,0.82,1,0,
Pool 3,Gray D,8/8/2022,R,20L,5,3,1.3,1,4,
Pool 4,Gray D,8/8/2022,R,88L,5,3,0.33,0,0,
Pool 5,Gray D,8/8/2022,R,54L,5,3,0.49,0,3,
Pool 6,Gray D,8/8/2022,R,39L,5,3,0.22,0,0,
Pool 7,Gray D,8/8/2022,R,3L,5,3,1.9,15,10,
Pool 8,Gray D,8/8/2022,R,63R,5,3,1.14,3,0,
Pool 9,Gray D,8/8/2022,R,68R,5,3,0.62,0,0,
Pool 10,Gray D,8/8/2022,R,161R,5,3,1.2,0,0,
Pool 11,Gray D,8/8/2022,R,53R,5,3,0.27,0,0,
Pool 12,Gray D,8/8/2022,R,142R,5,3,0.2,0,0,
Pool 13,Gray D,8/8/2022,R,45R,5,3,0.68,0,0,
Pool 14,Gray D,8/8/2022,R,21R,5,3,0.33,0,0,
Pool 15,Gray D,8/8/2022,R,31R,5,3,1.2,0,4,
Pool 1,Gray D,8/8/2022,L,ELJ,8,3.5,1.0,26,0,
Pool 2,Gray D,8/8/2022,L,ELJ,17,1.5,0.88,35,0,
Pool 1,Gray E,8/8/2022,R,134L,5,3,0.34,0,1,
Pool 2,Gray E,8/8/2022,R,89L,5,3,1.4,10,26,
Pool 3,Gray E,8/8/2022,R,63L,5,3,1.2,0,0,
Pool 4,Gray E,8/8/2022,R,54L,5,3,0.7,12,4,
Pool 5,Gray E,8/8/2022,R,70L,5,3,0.67,0,0,
Pool 6,Gray E,8/8/2022,R,92L,17,13,1.02,0,6,
Pool 7,Gray E,8/8/2022,R,54L,5,3,0.12,0,3,
Pool 8,Gray E,8/8/2022,R,45R,5,3,0.55,6,1,
Pool 9,Gray E,8/8/2022,R,21R,5,3,0.53,2,1,
Pool 10,Gray E,8/8/2022,R,31R,5,3,1.0,0,0,
Pool 11,Gray E,8/8/2022,R,99R,5,3,0.89,0,0,
Pool 12,Gray E,8/8/2022,R,44R,5,3,0.32,0,0,
Pool 13,Gray E,8/8/2022,R,208R,5,3,0.56,0,0,
Pool 14,Gray E,8/8/2022,R,106R,5,3,1.1,0,0,
Pool 15,Gray E,8/8/2022,R,40R,5,3,0.43,12,0,
Pool 1,Gray E,8/8/2022,L,ELJ,10.5,15,0.47,2,11,
Pool 2,Gray E,8/8/2022,L,ELJ,9.5,9.5,0.33,3,0,
Pool 3,Gray E,8/8/2022,L,ELJ,17,13,1.02,0,6,
Pool 4,Gray E,8/8/2022,L,ELJ,15.5,15.5,0.16,0,7,
Pool 5,Gray E,8/8/2022,L,ELJ,13,11,0.59,0,0,
Pool 6,Gray E,8/8/2022,L,ELJ,13,11,0.66,2,27,
Pool 1,Gray F,8/8/2022,R,98R,5,3,0.67,2,0,
Pool 2,Gray F,8/8/2022,R,43R,5,3,0.56,0,0,
Pool 3,Gray F,8/8/2022,R,63R,5,3,0.74,0,0,
Pool 4,Gray F,8/8/2022,R,59R,5,3,0.75,0,0,
Pool 5,Gray F,8/8/2022,R,50R,5,3,0.7,0,0,
Pool 6,Gray F,8/8/2022,R,109R,5,3,0.29,0,1,
Pool 7,Gray F,8/8/2022,R,64R,5,3,0.87,0,0,
Pool 8,Gray F,8/8/2022,R,51L,5,3,0.17,0,0,
Pool 9,Gray F,8/8/2022,R,68L,5,3,0.26,0,0,
Pool 10,Gray F,8/8/2022,R,164L,5,3,0.9,1,9,
Pool 11,Gray F,8/8/2022,R,119L,5,3,0.5,0,0,
Pool 12,Gray F,8/8/2022,R,66L,5,3,0.8,1,0,
Pool 13,Gray F,8/8/2022,R,116L,5,3,0.19,0,0,
Pool 14,Gray F,8/8/2022,R,48L,5,3,0.22,19,0,
Pool 15,Gray F,8/8/2022,R,52L,5,3,0.4,0,0,
Pool 1,Gray F,8/8/2022,L,ELJ,19.5,5,0.51,11,42,
Pool 2,Gray F,8/8/2022,L,ELJ,5,3,0.12,0,4,
Pool 3,Gray F,8/8/2022,L,ELJ,17,1,0.31,0,0,
Pool 4,Gray F,8/8/2022,L,ELJ,7,6.5,0.4,0,2,
Pool 5,Gray F,8/8/2022,L,ELJ,10,5,0.61,0,14,
Pool 6,Gray F,8/8/2022,L,ELJ,7,6,0.51,0,0,
Pool 7,Gray F,8/8/2022,L,ELJ,16,12,0.84,8,2,
Pool 8,Gray F,8/8/2022,L,ELJ,16,13,0.58,6,0,
